Species,Species.group,Observer,Type,Count,Obs.L,Obs.U,Obs.Ave.Count,Obs.Ave.Est,Obs.Ave.L,Obs.Ave.U
Barrow's Goldeneye,Goldeneye,Observer 1,Count,29,NA,NA,NA,NA,NA,NA
Black Scoter,Scoter,Observer 1,Count,0,NA,NA,NA,NA,NA,NA
Bufflehead,Bufflehead,Observer 1,Count,1196,NA,NA,NA,NA,NA,NA
Common Goldeneye,Goldeneye,Observer 1,Count,90,NA,NA,NA,NA,NA,NA
Common Merganser,Merganser,Observer 1,Count,1,NA,NA,NA,NA,NA,NA
Harlequin Duck,Harlequin duck,Observer 1,Count,36,NA,NA,NA,NA,NA,NA
Long-tailed Duck,Long-tailed duck,Observer 1,Count,320,NA,NA,NA,NA,NA,NA
Red-breasted Merganser,Merganser,Observer 1,Count,57,NA,NA,NA,NA,NA,NA
Surf Scoter,Scoter,Observer 1,Count,691,NA,NA,NA,NA,NA,NA
White-winged Scoter,Scoter,Observer 1,Count,129,NA,NA,NA,NA,NA,NA
American wigeon,Dabbling duck,Observer 1,Count,496,NA,NA,NA,NA,NA,NA
Common loon,Loon,Observer 1,Count,59,NA,NA,NA,NA,NA,NA
Common murre,Alcid,Observer 1,Count,29,NA,NA,NA,NA,NA,NA
Horned grebe,Grebe,Observer 1,Count,55,NA,NA,NA,NA,NA,NA
Mallard,Dabbling duck,Observer 1,Count,22,NA,NA,NA,NA,NA,NA
Northern pintail,Dabbling duck,Observer 2,Count,90,NA,NA,NA,NA,NA,NA
Scaup,Scaup,Observer 2,Count,90,NA,NA,NA,NA,NA,NA
Barrow's Goldeneye,Goldeneye,Observer 2,Count,19,NA,NA,NA,NA,NA,NA
Black Scoter,Scoter,Observer 2,Count,0,NA,NA,NA,NA,NA,NA
Bufflehead,Bufflehead,Observer 2,Count,991,NA,NA,NA,NA,NA,NA
Common Goldeneye,Goldeneye,Observer 2,Count,32,NA,NA,NA,NA,NA,NA
Common Merganser,Merganser,Observer 2,Count,2,NA,NA,NA,NA,NA,NA
Harlequin Duck,Harlequin duck,Observer 2,Count,21,NA,NA,NA,NA,NA,NA
Long-tailed Duck,Long-tailed duck,Observer 2,Count,260,NA,NA,NA,NA,NA,NA
Red-breasted Merganser,Merganser,Observer 2,Count,19,NA,NA,NA,NA,NA,NA
Surf Scoter,Scoter,Observer 2,Count,560,NA,NA,NA,NA,NA,NA
White-winged Scoter,Scoter,Observer 2,Count,92,NA,NA,NA,NA,NA,NA
American wigeon,Dabbling duck,Observer 2,Count,258,NA,NA,NA,NA,NA,NA
Common loon,Loon,Observer 2,Count,25,NA,NA,NA,NA,NA,NA
Common murre,Alcid,Observer 2,Count,40,NA,NA,NA,NA,NA,NA
Horned grebe,Grebe,Observer 2,Count,41,NA,NA,NA,NA,NA,NA
Mallard,Dabbling duck,Observer 2,Count,10,NA,NA,NA,NA,NA,NA
Northern pintail,Dabbling duck,Observer 2,Count,2,NA,NA,NA,NA,NA,NA
Scaup,Scaup,Observer 2,Count,75,NA,NA,NA,NA,NA,NA
Mallard,Dabbling duck,Camera,Count,30,NA,NA,NA,NA,NA,NA
Northern pintail,Dabbling duck,Camera,Count,2,NA,NA,NA,NA,NA,NA
Scaup,Scaup,Camera,Count,1659,NA,NA,NA,NA,NA,NA
Barrow's Goldeneye,Goldeneye,Camera,Count,174,NA,NA,NA,NA,NA,NA
Black Scoter,Scoter,Camera,Count,1,NA,NA,NA,NA,NA,NA
Bufflehead,Bufflehead,Camera,Count,74,NA,NA,NA,NA,NA,NA
Common Goldeneye,Goldeneye,Camera,Count,402,NA,NA,NA,NA,NA,NA
Common Merganser,Merganser,Camera,Count,104,NA,NA,NA,NA,NA,NA
Harlequin Duck,Harlequin duck,Camera,Count,993,NA,NA,NA,NA,NA,NA
Long-tailed Duck,Long-tailed duck,Camera,Count,450,NA,NA,NA,NA,NA,NA
Red-breasted Merganser,Merganser,Camera,Count,1055,NA,NA,NA,NA,NA,NA
Surf Scoter,Scoter,Camera,Count,89,NA,NA,NA,NA,NA,NA
White-winged Scoter,Scoter,Camera,Count,63,NA,NA,NA,NA,NA,NA
American wigeon,Dabbling duck,Camera,Count,221,NA,NA,NA,NA,NA,NA
Common loon,Loon,Camera,Count,66,NA,NA,NA,NA,NA,NA
Common murre,Alcid,Camera,Count,138,NA,NA,NA,NA,NA,NA
Horned grebe,Grebe,Camera,Count,124,NA,NA,NA,NA,NA,NA
Barrow's Goldeneye,Goldeneye,Observer 1,Estimate,28,18,49,24,28,19,46
Black Scoter,Scoter,Observer 1,Estimate,0,0,0,0,0,0,0
Bufflehead,Bufflehead,Observer 1,Estimate,1665,1545,1797,1094,1666,1561,1778
Common Goldeneye,Goldeneye,Observer 1,Estimate,172,135,223,61,171,137,219
Common Merganser,Merganser,Observer 1,Estimate,0,0,6,2,0,0,4
Harlequin Duck,Harlequin duck,Observer 1,Estimate,71,49,110,29,71,51,104
Long-tailed Duck,Long-tailed duck,Observer 1,Estimate,401,347,466,290,402,354,458
Red-breasted Merganser,Merganser,Observer 1,Estimate,102,75,143,38,68,53,90
Surf Scoter,Scoter,Observer 1,Estimate,996,905,1101,626,901,831,981
White-winged Scoter,Scoter,Observer 1,Estimate,447,369,548,111,383,328,454
American wigeon,Dabbling duck,Observer 1,Estimate,1057,953,1184,377,1058,940,1202
Common loon,Loon,Observer 1,Estimate,87,63,124,42,86,60,131
Common murre,Alcid,Observer 1,Estimate,60,40,97,35,61,41,95
Horned grebe,Grebe,Observer 1,Estimate,217,165,296,48,217,163,301
Mallard,Dabbling duck,Observer 1,Estimate,63,40,105,16,62,37,116
Northern pintail,Dabbling duck,Observer 2,Estimate,136,105,178,46,114,72,326
Scaup,Scaup,Observer 2,Estimate,122,94,161,83,122,92,163
Barrow's Goldeneye,Goldeneye,Observer 2,Estimate,28,17,52,24,28,19,46
Black Scoter,Scoter,Observer 2,Estimate,0,0,0,0,0,0,0
Bufflehead,Bufflehead,Observer 2,Estimate,1667,1536,1809,1094,1666,1561,1778
Common Goldeneye,Goldeneye,Observer 2,Estimate,169,121,247,61,171,137,219
Common Merganser,Merganser,Observer 2,Estimate,0,0,5,2,0,0,4
Harlequin Duck,Harlequin duck,Observer 2,Estimate,70,46,118,29,71,51,104
Long-tailed Duck,Long-tailed duck,Observer 2,Estimate,402,344,472,290,402,354,458
Red-breasted Merganser,Merganser,Observer 2,Estimate,99,63,170,38,68,53,90
Surf Scoter,Scoter,Observer 2,Estimate,997,898,1107,626,901,831,981
White-winged Scoter,Scoter,Observer 2,Estimate,447,360,566,111,383,328,454
American wigeon,Dabbling duck,Observer 2,Estimate,1058,926,1220,377,1058,940,1202
Common loon,Loon,Observer 2,Estimate,85,56,137,42,86,60,131
Common murre,Alcid,Observer 2,Estimate,61,42,92,35,61,41,95
Horned grebe,Grebe,Observer 2,Estimate,216,160,306,48,217,163,301
Mallard,Dabbling duck,Observer 2,Estimate,60,34,126,16,62,37,116
Northern pintail,Dabbling duck,Observer 2,Estimate,92,39,474,46,114,72,326
Scaup,Scaup,Observer 2,Estimate,122,90,165,83,122,92,163
