"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0
"2",0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,248,0,0,0,2,0,0,0,0,0
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"7",0,15,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"8",0,1,0,371,0,55,0,2,0,0,0,0,0,0,0,0
"9",0,31,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"10",0,0,1,488,6,0,0,24,0,0,0,0,0,0,0,0
"11",0,14,0,5,4,0,0,1,0,0,0,0,0,0,0,0
"12",0,60,0,0,1,0,0,0,0,0,0,0,0,0,7,0
"13",0,31,0,0,1,15,3,4,0,0,1,0,0,0,2,0
"14",0,0,0,0,3,18,0,3,0,0,0,0,0,0,0,0
"15",2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"18",0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
"21",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0
"29",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"31",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"33",0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
"34",0,14,0,74,1,6,0,0,0,0,1,0,0,0,0,0
"35",0,24,0,0,0,18,0,0,0,1,0,1,0,0,18,0
"36",0,43,0,0,0,54,0,0,0,2,0,0,0,0,16,0
"37",0,7,0,0,3,59,0,0,0,2,2,0,0,0,22,0
"38",0,4,0,0,0,21,0,0,0,0,0,0,0,0,2,0
"39",0,3,0,0,1,129,0,2,0,7,0,1,0,3,2,0
"40",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,28,0,0,9,0,0,0,6,0,2,1,0,0,188,0
"42",0,6,0,0,0,23,1,0,0,3,0,0,0,0,3,0
"43",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"44",0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0
"45",0,0,0,0,0,2,0,2,0,1,4,0,0,0,0,0
"46",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0
"50",0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0
"51",0,1,0,0,1,0,0,136,0,0,0,0,0,0,3,0
"52",0,0,0,0,0,0,5,0,0,1,0,0,0,0,10,0
"53",0,0,0,0,0,0,2,0,0,9,1,0,0,0,1,0
"54",0,12,0,0,3,51,2,0,0,0,0,0,0,0,15,0
"55",0,30,0,0,2,2,2,0,0,0,1,0,0,1,27,0
"56",0,38,0,0,4,15,0,0,0,1,0,0,0,0,7,0
"57",0,10,0,0,0,9,0,0,0,0,0,0,0,0,15,0
"58",0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0
"59",4,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0
"60",3,0,0,0,0,0,3,1,0,8,1,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
