"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0
"2",0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3
"3",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"6",0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"8",0,2,0,89,0,2,0,0,0,0,0,1,0,0,0,0
"9",0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10",0,0,0,95,0,0,0,12,0,0,0,0,0,6,0,0
"11",0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"12",0,38,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"13",0,24,0,0,1,6,0,1,0,0,1,0,0,0,2,3
"14",1,0,0,0,2,25,0,3,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1
"16",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"18",0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
"21",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"23",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0
"29",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
