alcid,bufflehead,cormorant,dabbling duck,goldeneye,goose,grebe,gull,Harlequin duck,long-tailed duck,loon,merganser,ruddy duck,scaup,scoter,Z.UNK
0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0
0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,248,0,0,0,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0
0,15,0,2,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,371,0,55,0,2,0,0,0,0,0,0,0,0
0,31,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,1,488,6,0,0,24,0,0,0,0,0,0,0,0
0,14,0,5,4,0,0,1,0,0,0,0,0,0,0,0
0,60,0,0,1,0,0,0,0,0,0,0,0,0,7,0
0,31,0,0,1,15,3,4,0,0,1,0,0,0,2,0
0,0,0,0,3,18,0,3,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
0,14,0,74,1,6,0,0,0,0,1,0,0,0,0,0
0,24,0,0,0,18,0,0,0,1,0,1,0,0,18,0
0,43,0,0,0,54,0,0,0,2,0,0,0,0,16,0
0,7,0,0,3,59,0,0,0,2,2,0,0,0,22,0
0,4,0,0,0,21,0,0,0,0,0,0,0,0,2,0
0,3,0,0,1,129,0,2,0,7,0,1,0,3,2,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,9,0,0,0,6,0,2,1,0,0,188,0
