alcid,bufflehead,cormorant,dabbling duck,goldeneye,goose,grebe,gull,Harlequin duck,long-tailed duck,loon,merganser,ruddy duck,scaup,scoter,Z.UNK
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,206,1,2,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,150,9,0,0,17,0,0,0,0,0,0,0,20
0,15,0,0,2,0,0,2,0,0,0,0,0,0,0,0
0,49,0,0,0,0,0,0,0,0,0,0,0,0,8,0
0,33,0,0,1,12,0,1,0,0,1,0,0,0,2,0
0,1,0,0,2,28,0,4,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0
0,4,0,34,0,10,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,25,0,0,0,0,0,0,0,0,14,0
0,34,0,0,0,20,0,1,0,0,0,0,0,0,14,1
0,20,0,0,2,107,0,0,0,2,1,0,0,0,22,1
0,9,0,0,0,54,0,0,0,0,0,2,0,0,0,0
0,2,0,0,0,54,0,2,0,4,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,5,0,0,0,2,0,1,0,0,0,103,0
0,13,0,0,0,32,0,0,0,3,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,2,0,1,0,1,3,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,2,0,0,95,0,0,0,0,0,0,3,0
0,0,0,0,0,0,1,0,0,2,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0
0,4,0,0,8,27,0,0,0,1,1,0,0,0,7,1
0,19,0,0,2,9,0,0,0,0,1,0,0,0,31,1
0,24,0,0,0,0,0,1,0,0,0,1,0,0,6,0
0,9,0,0,0,14,0,0,0,0,0,0,0,0,13,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,3,0,1,1,0,0,2,0,0,0,6,0
0,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,10,0,88,3,0,0,0,0,0,1,0,0,0,2,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,7,0,0,0,7,0,0,0,0
0,0,0,0,17,0,0,3,4,0,0,0,0,0,0,2
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,6,2,0
4,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,0,0,2,0,0,2,0,0,0,0,0,0,2,1
0,10,0,0,9,0,0,13,2,0,0,0,0,0,5,1
0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,5,0,0,2,0,0,0,0,0,0,5,1
0,3,0,2,62,0,0,5,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,1,5,0,0,0,0,1,0,0,0,12,0
0,12,0,0,1,43,0,0,0,0,0,1,0,0,7,1
0,21,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0
0,17,0,0,0,0,0,0,0,0,1,0,0,0,9,0
0,18,0,0,3,2,0,1,0,0,0,0,0,2,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
0,9,0,0,0,45,4,0,0,2,0,0,0,0,17,0
0,12,0,0,1,0,0,1,0,0,11,0,0,4,12,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,15,0,0,5,63,0,0,0,0,0,0,0,2,22,1
0,0,0,0,0,0,0,2,0,3,1,0,0,0,9,0
0,9,1,0,0,6,0,2,0,5,0,0,0,0,20,0
0,29,0,0,6,12,1,0,0,0,0,0,0,0,22,0
0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0
0,0,0,0,0,19,0,1,0,1,0,4,0,0,0,0
0,6,1,0,0,0,1,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0
0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0
0,0,0,0,0,0,3,0,0,1,0,0,0,0,16,0
0,12,0,0,5,9,0,0,0,0,0,0,0,60,9,0
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,16,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,27,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0
0,0,0,0,0,0,13,2,0,0,8,0,0,0,0,0
0,0,2,0,0,0,0,5,0,0,15,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,17,4
0,0,0,0,0,0,0,1,0,2,0,0,0,3,2,0
0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0
0,0,0,0,0,14,0,0,0,9,0,0,0,0,4,0
0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,2,0,0,0,1,0,0,4,0,1,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
0,0,0,0,0,4,0,0,0,3,0,0,0,0,9,0
0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,76,0,1,0,0,0,0,0,0,0,0
0,5,0,0,0,5,0,0,0,0,0,0,0,0,13,1
0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,14,0,0,1,3,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,46,0,0,0,0,0,0,14,0,1,0
0,0,0,0,0,0,0,0,0,31,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,66,0,0,0,0,0,0,8,0,12,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,8,2,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,9,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0
0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,0,2,0,0,0,0,0,0,0,0,1,0
0,20,0,0,0,2,0,0,0,0,1,0,0,0,22,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,15,0,0,1,1,0,2,0,1,0,0,0,0,106,0
0,4,0,0,0,16,0,0,0,0,0,0,0,0,37,2
0,7,0,0,0,8,0,1,0,3,0,0,0,0,4,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,16,0,0,17,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,5,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
15,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0
0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0
0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,1
0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
0,15,0,15,0,618,0,14,0,0,0,0,0,0,0,0
0,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,45,0,0,0,4,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0
1,0,1,0,0,0,0,16,0,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,6,2,0,0,0,1,2,0,0,1,5,0,0,1,0
0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,0,0,0,0,0,20,0,0,0,0,0,0,6,0
1,38,1,0,2,22,0,3,0,0,0,2,0,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
25,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,3,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,19,0,2,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,7,0,0,0,12,0,0,0,0
0,0,0,92,0,0,0,112,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,2,0,0,0,2,0,0,0,0,0,0,0,14,2
0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0
0,37,0,5,0,0,0,17,0,0,0,0,0,0,0,0
0,27,0,0,0,0,0,42,0,0,0,0,0,0,2,0
0,25,0,12,0,0,0,7,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
