CODE,DESCRIPT
AMCO,"Coot, American"
AMWI,"Wigeon, American"
ANMU,"Murrelet, ancient"
ARTE,"Tern, arctic"
ASSP,"Storm-petrel, ashy"
BAEA,"Eagle, bald"
BAGO,"Goldeneye, Barrow's"
BBPL,"Plover, black-bellied"
BBWH,"Whale, baird's beaked"
BEGI,Beginning of line
BEKI,"Kingfisher, belted"
BFAL,"Albatross, black footed"
BLBR,"Brant, black"
BLKI,"Kittiwake, black-legged"
BLOY,Black Oystercatcher
BLSC,"Scoter, Black"
BLSP,"Storm-petrel, black"
BLTU,"Turnstone, black"
BLWH,"Whale, blue"
BOGU,"Gull, bonaparte's"
BRCO,"Cormorant, brandt's"
BRMU,"Murrelet, unclassified Brachyramphus"
BRPE,"Pelican, brown"
BTPI,Band-tailed Pigeon
BUFF,Bufflehead
BUOY,Buoy
BUSH,"Shearwater, buller's"
BVSH,"Shearwater, black-vented"
BWTE,"Teal, blue-winged"
CAAU,"Auklet, cassin's"
CAGO,"Goose, Canada"
CAGU,"Gull, California"
CANV,Canvasback
CASL,"Sea lion, ccalifornia"
CATE,"Tern, caspian"
CBPT,Crab pot
CBWH,"Whale, cuviers beaked"
CITE,"Teal, cinnamon"
COBO,Color boundary
CODO,"Dolphin, common"
COGO,"Goldeneye, Common"
COLO,"Loon, Common"
COME,"Merganser, common"
COMU,Common Murre
CORA,"Raven, common"
COTE,"Tern, common"
DAPO,"Porpoise, dall"
DCCO,"Cormorant, double-crested"
DUNL,Dunlin
EAGR,"Grebe, eared"
ELSE,"Seal, elephant"
ELTE,"Tern, elegant"
ENDI,"End of line, or point of break"
FFSH,"Shearwater, flesh footed"
FISA,"Fish, anchovy"
FISB,"Fish, bait"
FISM,"Fish, mola"
FISU,"Fish, unknown"
FIWH,"Whale, fin"
FOTE,"Tern, forster's"
FTSP,"Storm-petrel, fork-tailed"
GADW,Gadwall
GBHE,"Heron, Great Blue"
GOEA,"Eagle, golden"
GOPL,"Plover, golden"
GPSP,GPS Position
GRSC,"Scaup, greater"
GRTU,"Turtle, green"
GRWH,"Whale, gray"
GRYE,"Yellowlegs, greater"
GWGU,"Gull, Glaucous-winged"
GWTE,"Teal, green-winged"
HADU,Harlequin duck
HAPO,"Porpoise, harbor"
HASE,Harbor Seal
HEGU,Herring Gull
HOGR,"Grebe, horned"
HOME,"Merganser, hooded"
HOPU,"Puffin, horned"
HRGU,Heerman's gull
HUWH,"Whale, humpback"
INTW,Internal Wave
JETF,Flotsam
JETL,"Jetsam, logs"
JETP,"Jetsam, plastic"
JETU,"Jetsam, unknown"
JETW,"Jetsam, wood (not logs)"
KELP,Kelp
KILL,Killdeer
KIWH,"Whale, killer"
LAAL,"Albatross, laysan"
LBDO,"Dowitcher, long-billed"
LBTU,"Turtle, leatherback"
LESA,"Sandpiper, least"
LESC,"Scaup, lesser"
LESP,"Storm-petrel, leach's"
LEYE,"Yellowlegs, lesser"
