"","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","Front","Rear","Fr.Det","Rr.Det","platform","Group"
"1","20120308_002 1","UNSC",1,0,0,0,143,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"2 1"
"2","20120308_002 2","UNLO",1,0,0,0,148,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"2 2"
"3","20120308_002 3","HOGR",2,0,0,0,200,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,2,"2 3"
"4","20120308_002 4","HOGR",2,0,0,0,203,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,2,"2 4"
"5","20120308_002 5","SUSC",6,0,0,0,203,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"2 5"
"6","20120308_002 5","UNSC",0,0,0,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",0,1,1,"2 5"
"7","20120308_002 6","UNME",2,0,0,1,207,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",0,1,2,"2 6"
"8","20120308_002 7","UNGO",1,0,0,0,216,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,2,"2 7"
"9","20120308_002 8","COLO",1,1,1,1,330,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"2 8"
"10","20120308_003 1","HOGR",0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",0,1,4,"3 1"
"11","20120308_003 2","BUFF",0,1,1,1,410,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"3 2"
"12","20120308_003 3","UNGU",1,1,1,1,415,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"3 3"
"13","20120308_003 4","HOGR",1,0,0,0,269,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"3 4"
"14","20120308_003 4","UNDD",0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",0,1,1,"3 4"
"15","20120308_003 4","WEGR",7,1,1,1,435,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"3 4"
"16","20120308_003 5","WEGR",1,0,0,0,285,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"3 5"
"17","20120308_003 6","WEGR",1,1,1,1,505,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"3 6"
"18","20120308_004 1","WEGR",0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",0,0,4,"4 1"
"19","20120308_004 2","WEGR",1,0,0,0,327,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"4 2"
"20","20120308_004 3","WEGR",1,0,0,0,333,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"4 3"
"21","20120308_004 4","HAPO",2,2,2,2,611,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"4 4"
"22","20120308_004 5","UNLO",2,0,0,0,356,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"4 5"
"23","20120308_004 6","UNDD",0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",0,1,1,"4 6"
"24","20120308_004 6","WEGR",3,0,0,0,358,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"4 6"
"25","20120308_004 7","WEGR",243,181,143,100,675,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"4 7"
"26","20120308_005 1","COMU",2,0,0,0,396,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,2,"5 1"
"27","20120308_005 1","WEGR",1,0,0,0,396,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,2,"5 1"
"28","20120308_005 2","WEGR",2,0,2,2,401,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,2,"5 2"
"29","20120308_005 3","HAPO",0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",0,1,2,"5 3"
"30","20120308_005 4","HAPO",1,1,1,1,776,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"5 4"
"31","20120308_011 1","COMU",1,0,0,0,828,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"BM","TC",1,1,1,"1 1"
