TransectGroup,SPECIES,Count.FF,Count.POV,Count.BM,Count.TC,Photo.ID,BSS.1,BSS.2,BSS.3,Glare.1,Glare.2,Glare.3,BH.W,BH.F,BH.WF,BH.FW,BH.2F1W,BH.B,BH.BW,BH.Piling,BH.P,BH.F1W,BH.M,BH.H,BH.R,platform,Group,sp.group,Transect
20120308_002 3,HOGR,2,0,0,0,200,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2 3,horned grebe,20120308_002
20120308_002 4,HOGR,2,0,0,0,203,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2 4,horned grebe,20120308_002
20120308_002 5,SUSC,6,0,0,0,203,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 5,surf scoter,20120308_002
20120308_002 8,COLO,1,1,1,1,330,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 8,common loon,20120308_002
20120308_003 1,HOGR,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3 1,horned grebe,20120308_003
20120308_003 2,BUFF,0,1,1,1,410,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3 2,bufflehead,20120308_003
20120308_003 3,UNGU,1,1,1,1,415,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 3,gull,20120308_003
20120308_003 4,HOGR,1,0,0,0,269,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 4,horned grebe,20120308_003
20120308_003 4,WEGR,7,1,1,1,435,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 4,western grebe,20120308_003
20120308_003 5,WEGR,1,0,0,0,285,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 5,western grebe,20120308_003
20120308_003 6,WEGR,1,1,1,1,505,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 6,western grebe,20120308_003
20120308_004 1,WEGR,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4 1,western grebe,20120308_004
20120308_004 2,WEGR,1,0,0,0,327,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4 2,western grebe,20120308_004
20120308_004 3,WEGR,1,0,0,0,333,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4 3,western grebe,20120308_004
20120308_004 6,WEGR,3,0,0,0,358,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4 6,western grebe,20120308_004
20120308_004 7,WEGR,243,181,143,100,675,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4 7,western grebe,20120308_004
20120308_005 1,COMU,2,0,0,0,396,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5 1,common murre,20120308_005
20120308_005 1,WEGR,1,0,0,0,396,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5 1,western grebe,20120308_005
20120308_005 2,WEGR,2,0,2,2,401,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5 2,western grebe,20120308_005
20120308_011 1,COMU,1,0,0,0,828,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1 1,common murre,20120308_011
20120308_012 1,GWGU,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 1,gull,20120308_012
20120308_012 1,UNGU,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 1,gull,20120308_012
20120308_012 2,WWSC,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 2,white-winged scoter,20120308_012
20120308_012 3,UBWG,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2 3,gull,20120308_012
